,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355
10,148777.65437715134,148714.44423878333,148563.05905493442,148328.7049612512,148014.11564678894,147619.36884998946,147144.4396014882,146592.61842216644,145968.38386540205,145275.71210760542,144519.62679160427,143706.30252424165,142841.37330187252,141932.86490171307,140990.51652306825,140018.14339702768,139022.86461050727,138011.32775251006,136990.84957702152,135968.81788364187,134953.23005363185,133952.25486806902,132974.9768389311,132027.58893247845,131117.1449203762,130252.35582637721,129438.06120288713,128680.09781363005,127984.84001290107,127359.79479637182,126811.28884809233,126343.58189462607,125958.28746549785,125657.85886624598,125447.2782320332,125333.42163560227,125313.85592125307,125388.69994249965,125554.46858714607,125808.65301032607,126150.18680001561,126575.6649674543,127083.93644430005,127669.42018428887,128325.68319536505,129047.52870108855,129829.17700279635,130665.0520116222,131551.7953529174,132478.846570172,133438.134058965,134422.59653102027,135426.1675168353,136440.70563559048,137461.72248851685,138478.14371704106,139481.64598577225,140464.9352840274,141420.91300663602,142342.47878336732,143224.1326183836,144058.0802151713,144837.84961491352,145559.41058395768,146222.16615304962,146818.2703570236,147341.33365728045,147787.7142150493,148154.96953223457,148440.1898657897,148640.196784639,148752.83373835968
11,149601.79544762685,149532.6718133983,149367.9991849216,149111.9994553425,148768.5670399299,148335.47272851222,147813.9544176212,147208.07865263734,146522.87356772073,145762.52474153385,144932.98494912498,144040.75937856446,143092.55028938173,142098.68962062482,141066.17309627988,140000.02715390446,138908.5043746084,137798.43774014586,136678.43557338588,135557.78622485462,134443.59277932945,133343.57546357167,132266.64417135777,131226.4576899668,130228.19787911855,129277.84703313676,128381.6464885783,127547.69078992432,126782.29778286752,126094.0809467725,125490.35719033338,124974.24238579332,124548.31551580456,124217.53794989815,123988.33240918645,123860.2280118458,123837.44917903375,123917.2930884718,124099.84486671339,124380.96664112975,124757.32240940195,125226.59898151195,125785.41472964671,126430.53968740744,127153.54086931881,127948.52214667984,128809.11472528998,129730.72570014365,130707.48243266904,131727.09048873285,132781.86639960276,133864.22821152172,134966.01074182667,136079.33341574436,137196.35530972588,138311.57683298748,139413.08762696214,140492.39050858005,141541.0587411449,142551.81240365148,143517.79882844142,144431.93216456068,145286.73451195488,146077.44625357146,146802.28636007532,147454.45074118715,148026.90757219016,148515.65117583695,148918.27407346474,149230.77312697555,149449.9220045375,149574.00407721684
12,150389.47250391296,150315.08967933766,150139.33103981393,149861.2782981695,149487.11089726142,149015.50566528575,148447.62189063212,147788.11003397638,147042.36217865392,146215.42182520742,145313.41933605616,144342.67037528925,143312.21679062507,142233.85752851644,141110.55106041793,139951.37659674097,138763.36526216028,137556.09749574462,136339.32237369035,135119.7186557859,133906.34848631866,132707.95753644293,131538.121969184,130403.4030266938,129315.4590894076,128280.59705403054,127304.64473375533,126395.0153700932,125558.91036780716,124806.55890560214,124145.85009421935,123581.59478270705,123115.5294245409,122757.34370456035,122507.17225711967,122366.9018628058,122339.50805524006,122425.12630902481,122621.75683175026,122930.17775574948,123343.78460755695,123857.4749946276,124467.75743508812,125171.76337293805,125960.54922197213,126828.28972926267,127768.32195109276,128775.51434461946,129839.69588788795,130951.06063222232,132101.6938235606,133281.40022502662,134480.90815398627,135691.72713841873,136906.58914870233,138117.8458281873,139316.92311293035,140491.8008683245,141633.75990438362,142733.27991760857,143782.48009409488,144775.85864649236,145704.30265702435,146562.76551729368,147349.46587960634,148057.08045986574,148678.60463795534,149208.58253809702,149645.514778651,149985.47764220892,150223.50242787928,150358.83149444757
13,151140.6055283414,151062.256679006,150875.22731625766,150575.43680061286,150169.26705412855,149659.27194789346,149045.43028648495,148332.61774296075,147527.6720631332,146634.3726534215,145659.83419006533,144612.2955818745,143501.5541312926,142337.56109153858,141125.18969309554,139873.67461918038,138592.07160470609,137289.51516710065,135974.37756070856,134655.863262035,133343.33546084358,132051.80871234913,130787.93463313385,129560.11020762686,128380.66733138329,127260.58803068615,126204.32021019685,125218.8573026739,124312.49280328253,123496.78094009052,122779.43967520814,122166.44786234865,121662.62142990135,121275.10763331578,121004.97936491967,120852.03976751088,120823.21329858787,120916.02100324446,121130.6660091836,121463.23783337628,121912.98674581294,122471.36627437215,123134.5369137824,123898.17662538262,124754.178174939,125693.53738677762,126710.31584986727,127802.17035355992,128955.15334011016,130158.11151902824,131401.80133334512,132677.11094947427,133974.5126504778,135282.925782907,136595.7912779547,137904.2441718367,139199.6782517568,140468.79224146547,141702.25407188546,142889.72494014312,144022.4054763101,145094.11573183033,146095.17076911998,147018.30786300087,147864.35570009227,148625.7929714052,149295.46593374974,149866.99652057866,150337.10033986677,150703.72977259386,150960.97320297812,151107.14239025052
14,151855.45660321778,151774.9935911307,151574.14009935374,151252.9571653585,150814.91028375868,150266.65100272154,149607.24591984448,148842.38498563712,147978.06277095102,147018.90052113257,145973.6217087806,144851.48450317848,143662.16814184617,142414.12565045222,141115.0590819092,139773.6869411886,138398.30155486026,136999.81483515856,135585.8372186349,134167.46149926406,132760.0750550584,131373.70695379053,130016.56157300144,128698.20178290615,127426.44176397492,126218.16392730133,125081.4430115447,124021.1082062717,123047.57926812467,122171.68340681815,121400.50033893387,120738.65017108733,120197.33303891234,119780.14835110331,119489.12847143515,119327.62350681533,119293.77348805686,119392.07149971634,119623.09659900385,119981.96998781481,120464.48458837453,121068.89238799615,121785.56207761615,122608.99182946346,123530.67721897186,124542.61065766575,125637.81391504528,126811.50138747592,128049.05694602402,129344.86647027967,130683.17542496172,132054.0468023161,133448.56156359654,134858.31461993762,136267.9400583417,137668.89411424918,139055.52314559655,140417.22831454538,141739.21274825712,143014.25185899396,144230.31547304292,145379.3500650716,146454.287053221,147444.9885478034,148351.22870230422,149162.28081868944,149877.72253634632,150489.9385963843,150993.5507769844,151385.391012969,151661.80415717638,151818.53554089743
15,152534.50128265072,152450.44819487983,152236.02273919983,151893.3800208929,151423.85359393063,150837.65084996534,150133.60079582257,149316.57617222122,148393.49414221762,147370.95260826303,146257.71658780813,145061.7165180554,143794.13706835124,142464.4756612802,141079.89827431727,139648.04099253757,138180.52852059374,136685.4644491194,135174.00799776005,133659.30537211412,132156.91572407595,130674.21496290613,129223.59445222464,127814.0986797933,126455.36666614312,125159.65175255734,123941.99324524171,122812.59042198461,121773.11951847035,120834.68412113904,120007.35152974275,119298.71845266892,118717.20348356324,118272.60356918113,117964.09883110347,117792.36639882092,117762.50246248898,117867.94227367105,118108.5077981018,118487.38395911535,119004.88765631596,119649.59599187381,120416.32938998527,121298.33188200285,122288.35134415665,123374.1894384724,124548.9732323184,125803.78897424455,127128.58036589026,128510.11348630868,129942.70344939412,131410.7653515428,132905.23573518245,134411.54378599708,135917.02269810054,137409.90567075624,138885.13923878607,140337.10714547403,141747.23299192108,143106.44046465313,144405.39818333744,145632.00342599483,146779.25397813972,147836.90541175136,148804.52685514366,149669.65352470402,150427.90166710716,151077.43338352098,151614.26597844405,152031.0317414176,152325.71308676768,152493.20249523918
16,153177.9070300522,153088.430823971,152860.8346344638,152496.54568628856,151996.49038636792,151372.2062777631,150623.85153218912,149755.2940783649,148776.0896086347,147692.2749809498,146510.17264456805,145243.76572113062,143902.2492998827,142493.35648364216,141024.53418628464,139503.83393754324,137942.45374159224,136350.09897562172,134740.49561672358,133131.05042177768,131532.84652313974,129957.61426284506,128412.53906630812,126911.22081608498,125465.06111355287,124085.5780425018,122792.1694814182,121587.73755477818,120480.6269799552,119482.00626454086,118599.67303766875,117847.46541339961,117232.75561492455,116766.67205510224,116441.59939741233,116261.83210230533,116230.36549047107,116340.04703915973,116594.56626449215,116992.64832264738,117534.48182933686,118217.3517064302,119033.6628775984,119971.88488478518,121027.13212364176,122187.80754924232,123442.96523080152,124782.17119820982,126190.61665468368,127659.40355142494,129180.61340722984,130748.75140055676,132338.96355886053,133939.29894564569,135540.82970933965,137128.25598601552,138691.56749110855,140229.68698732887,141727.2912956852,143168.91964031337,144547.39802982836,145851.33331712088,147070.58027336845,148194.26312846222,149222.26717485837,150141.75262947462,150946.46649205286,151631.40977605653,152198.7552721733,152640.69272539936,152952.67562980502,153131.17514004966
17,153783.54026775528,153688.69705617448,153448.17875038605,153062.2176419049,152532.73342036695,151870.65244749212,151077.80437392322,150160.43239222837,149126.76660098587,147982.0815964505,146737.04198427903,145405.8018886912,143991.26290490187,142503.06205317285,140948.74497454122,139340.28623223194,137686.29763069213,135998.6702697948,134291.91761265692,132585.41962122262,130893.51025912502,129222.78817005845,127586.05771702394,125994.66976068744,124461.22242438453,123002.34833659505,121627.11092186367,120348.56287256884,119171.59543866734,118111.55299143205,117180.24362445931,116383.86750998348,115744.67914011175,115253.63815219294,114914.17593244948,114730.97800860654,114695.03753677814,114809.087982416,115077.52528799721,115500.89951853544,116071.44386405025,116782.36663486519,117641.96925962431,118636.12052460821,119754.77114725599,120982.08450044256,122317.03352094365,123740.64353328224,125235.63249955054,126791.73943603516,128406.19522433908,130064.65249485115,131749.3807706692,133444.45173919093,135138.04670305294,136820.18663139018,138473.85464178486,140095.34627240224,141678.89870166048,143202.68355554272,144658.92291400392,146037.55667145288,147327.73432012287,148517.26305473247,149604.39605044146,150578.02487489342,151428.63637482858,152153.24397711552,152747.67128017108,153213.57564638456,153542.92498563838,153732.2111015069
18,154351.42295382847,154251.0544862906,153997.7293581688,153590.35016636268,153032.01397698472,152332.20174307493,151496.7035451895,150532.41770073154,149446.11392421272,148246.54528624858,146943.0568217145,145539.84411303705,144050.2394044158,142481.3951626819,140842.00844955732,139145.90662285688,137400.75424699258,135621.86615075482,133826.88903691014,132030.69277940167,130240.63310458606,128472.93833456312,126744.07346821233,125062.59552068409,123445.63160699095,121903.23343543905,120447.87077708244,119093.2395194108,117846.62135393641,116730.762822774,115750.88157980713,114920.9544874166,114250.7945582605,113739.75094611422,113383.54630059705,113189.9281969952,113152.83332498133,113273.2697959396,113559.06932988248,114005.90769251248,114601.21641326259,115346.2006365134,116242.80571268925,117292.12563323813,118472.6616053104,119767.77732667596,121175.18811875198,122679.87818049664,124262.32580160035,125912.77367218464,127616.4572235894,129360.24574094106,131138.21156252382,132927.68894056266,134714.90477675735,136488.5515600655,138233.75549256222,139938.0972144549,141603.91902738073,143208.49763869093,144739.91508395915,146191.2593646592,147551.16391373926,148805.25356031331,149951.45644898165,150978.00141665214,151874.55752260712,152638.0889575344,153264.44307022355,153750.03949672758,154096.53495375186,154297.1945723449
19,154881.47622704154,154775.44369500538,154509.3253251631,154080.8627856753,153494.4100764146,152757.07396447743,151882.08171151206,150872.1235523061,149739.94938327983,148483.29007765287,147115.13089941954,145641.281862809,144076.88258720707,142427.55506220186,140705.34176336593,138920.75626091484,137087.65252408347,135219.40436651252,133339.20234039106,131454.62821796435,129575.48972156431,127713.69405720824,125889.09209806033,124119.22932727885,122416.36004103707,120791.36084101304,119255.35947238732,117825.21845815852,116517.00533759824,115339.38664287193,114317.41729875095,113455.69140322895,112757.30380104945,112218.71129930578,111844.20001796797,111638.88201243302,111602.16389192652,111732.49946602434,112032.21472283916,112501.07831581534,113124.40384198526,113903.86140548608,114839.89285319908,115939.67661383953,117181.58587506488,118543.15642077546,120023.88957631562,121603.43363415508,123270.49068414338,125015.0809791334,126809.50620562234,128642.94831718615,130509.01640876627,132392.58047481813,134272.2538541893,136135.3321193565,137970.2244933089,139760.5871656024,141504.381965343,143188.46576288153,144793.34930212732,146314.19513985788,147740.87929575198,149059.2890903482,150263.2666393031,151342.0413433756,152283.72079939093,153085.79472454355,153744.1455153523,154251.07371350355,154612.82072606753,154825.28808382576
